AGSC384,12,Gary E. Briers,
AGSC402,20,Julie F. Harlin,
AGSC405,20,John Rayfield,
AGSC425,16,John Rayfield,
AGSC436,15,Julie F. Harlin,
AGSC481,16,Alvin Larke,
AGSC484,0,Gary E. Briers,
AGSM201,4,Gregory Stark,
AGSM201,2,Gregory Stark,
AGSM201,1,Gregory Stark,
AGSM201,0,Gregory Stark,
AGSM201,5,Gregory Stark,
AGSM301,6,Calvin Parnell,
AGSM315,0,Carmen L. Gomes,
AGSM315,0,Carmen L. Gomes,
AGSM315,1,Carmen L. Gomes,
AGSM335,43,James Gilley,
AGSM337,44,Yongheng Huang,
AGSM403,22,William B.,
AGSM403,5,William B.,
AGSM439,35,Gerald Riskowski,
AGSM470,10,Gregory Stark,
AGSM470,20,Gregory Stark,
ALEC380,0,Billy R. McKim,
ALEC602,4,Julie F. Harlin,
ALEC605,4,John Rayfield,
ALEC606,7,Chanda Elbert,
ALEC610,6,James Lindner,
ALEC610,8,James Lindner,
ALEC610,8,James Lindner,
ALEC610,0,James Lindner,
ALEC611,2,Kim W. Dooley,
ALEC611,2,Kim W. Dooley,
ALEC611,1,Kim W. Dooley,
ALEC615,6,Timothy H.,
ALEC616,0,Summer Rachelle,
ALEC621,0,Gary Wingenbach,
ALEC623,3,Theresa P.,
ALEC623,6,Theresa P.,
ALEC623,2,Theresa P.,
ALEC623,0,Theresa P.,
ALEC624,2,Manuel Pina,
ALEC640,0,Robert L. Strong,
ALEC640,9,Theresa P.,
ALEC640,0,Theresa P.,
ALEC640,0,Theresa P.,
ALEC644,5,Manuel Pina,
ALEC681,3,TBA,
ALEC681,0,Theresa P.,
ALEC681,0,Theresa P.,
ALEC681,0,Theresa P.,
ALEC684,0,Gary E. Briers,
ALEC684,0,Alvin Larke,
ALEC684,0,Jennifer R.,
ALEC684,0,John Rayfield,
ALEC684,0,Julie F. Harlin,
ALEC684,0,Jennifer R.,
ALEC684,0,Robert L. Strong,
ALEC684,0,Scott R.,
ALEC684,0,James Lindner,
ALEC685,0,Gary E. Briers,
ALEC685,0,Alvin Larke,
ALEC685,0,Glen Shinn,
ALEC685,0,Jennifer R.,
ALEC685,0,Billy R. McKim,
ALEC685,0,Kim W. Dooley,
ALEC685,0,Timothy H.,
ALEC685,0,Tracy A.,
ALEC685,0,Barry L. Boyd,
ALEC685,0,Summer Rachelle,
ALEC685,0,Theresa P.,
ALEC685,0,Julie F. Harlin,
ALEC685,0,Lori L. Moore,
ALEC685,0,Chanda Elbert,
ALEC685,0,James Lindner,
ALEC685,0,Jeffrey P. Ripley,
ALEC685,0,Robert L. Strong,
ALEC685,0,Kim W. Dooley,
ALEC685,0,Tracy A.,
ALEC685,0,Theresa P.,
ALEC685,0,Jeffrey P. Ripley,
ALEC685,0,Robert L. Strong,
ALEC685,0,Alvin Larke,
ALEC685,0,Kim W. Dooley,
ALEC685,0,James Lindner,
ALEC685,0,TBA,
ALEC685,0,Kim W. Dooley,
ALEC685,0,James Lindner,
ALEC685,0,Gary Wingenbach,
ALEC690,3,Gary E. Briers,
ALEC691,0,Gary E. Briers,
ALEC691,0,Richard L.,
ALEC691,0,Alvin Larke,
ALEC691,0,Glen Shinn,
ALEC691,0,Jennifer R.,
ALEC691,0,Billy R. McKim,
ALEC691,0,Kim W. Dooley,
ALEC691,0,Timothy H.,
ALEC691,0,Scott R.,
ALEC691,0,Tracy A.,
ALEC691,0,John Rayfield,
ALEC691,0,Barry L. Boyd,
ALEC691,0,Summer Rachelle,
ALEC691,0,Gary Wingenbach,
ALEC691,0,Landry L. Lockett,
ALEC691,0,Theresa P.,
ALEC691,0,Julie F. Harlin,
ALEC691,0,Lori L. Moore,
ALEC691,0,Chanda Elbert,
ALEC691,0,James Lindner,
ALEC691,0,TBA,
ALEC691,0,Jeffrey P. Ripley,
ALEC691,0,Robert L. Strong,
ALEC691,0,Richard L.,
ALEC691,0,Alvin Larke,
ALEC691,0,Jennifer R.,
ALEC691,0,Kim W. Dooley,
ALEC691,0,Timothy H.,
ALEC691,0,Tracy A.,
ALEC691,0,John Rayfield,
ALEC691,0,Barry L. Boyd,
ALEC691,0,Gary Wingenbach,
ALEC691,0,Theresa P.,
ALEC691,0,Julie F. Harlin,
ALEC691,0,Lori L. Moore,
ALEC691,0,Christopher T.,
ALEC691,0,James Lindner,
ALEC691,0,Manda H. Rosser,
ALEC691,0,TBA,
ALEC691,0,Tracy A.,
ALEC691,0,Alvin Larke,
ALEC691,0,Barry L. Boyd,
ALEC691,0,Timothy H.,
ALEC691,0,James Lindner,
ALEC691,0,John Rayfield,
ALEC691,0,Gary Wingenbach,
ALEC691,0,TBA,
ALEC691,0,TBA,
ALEC691,0,Kim W. Dooley,
ALEC691,0,Tracy A.,
ALEC692,0,TBA,
ALEC692,0,Scott R.,
ALEC692,0,Timothy H.,
ALEC692,0,James Lindner,
ALEC692,0,Kim W. Dooley,
ALEC692,0,Theresa P.,
ALEC692,0,Gary E. Briers,
ALEC692,0,Scott R.,
ALEC692,0,Christopher T.,
ALEC692,0,John Rayfield,
ALEC692,0,Robert L. Strong,
ALEC692,0,Jennifer R.,
ALEC692,0,Chanda Elbert,
ALEC692,0,Barry L. Boyd,
ALEC692,0,TBA,
ALEC692,0,James Lindner,
ALEC692,0,Timothy H.,
ALEC692,0,Theresa P.,
ALEC692,0,Gary Wingenbach,
ALEC693,0,James Lindner,
ALEC693,0,TBA,
ALEC693,0,Alvin Larke,
ALEC693,0,James Lindner,
ALEC693,0,Gary Wingenbach,
ALEC695,5,John Rayfield,
ALEC695,3,Robert L. Strong,
ALEC695,1,Robert L. Strong,
ALEC695,0,Robert L. Strong,
ALED125,0,Lori L. Moore,
ALED202,41,Lori L. Moore,
ALED202,38,Barry L. Boyd,
ALED202,24,TBA,
ALED222,0,Chanda Elbert,
ALED301,45,Barry L. Boyd,
ALED301,40,Summer Rachelle,
ALED301,22,Christine E. Arnold,
ALED340,10,Lori L. Moore,
ALED340,25,Lori L. Moore,
ALED340,15,Lori L. Moore,
ALED340,25,Lori L. Moore,
ALED340,25,Lori L. Moore,
ALED340,19,Lori L. Moore,
ALED340,19,Lori L. Moore,
ALED340,12,Lori L. Moore,
ALED340,0,Lori L. Moore,
ALED341,80,Jennifer R.,
ALED350,5,Gary Wingenbach,
ALED380,0,Chanda Elbert,
ALED380,44,Jennifer R.,
ALED400,0,Summer Rachelle,
ALED400,0,Summer Rachelle,
ALED422,43,Alvin Larke,
ALED424,73,Jennifer R.,
ALED426,43,Robert L. Strong,
ALED440,90,Landry L. Lockett,
ALED441,16,Scott R.,
ALED442,30,Landry L. Lockett,
ALED481,30,Barry L. Boyd,
ALED485,1,Jennifer R.,
ALED485,0,Deborah W.,
ALED485,0,Barry L. Boyd,
ALED485,0,Summer Rachelle,
ALED485,0,Lori L. Moore,
ALED485,1,Chanda Elbert,
ALED485,0,Landry L. Lockett,
ALED485,0,Linda C. Powell,
ALED491,0,Barry L. Boyd,
ALED491,0,Summer Rachelle,
ALED494,0,Christine E. Arnold,
ALED494,0,Christine E. Arnold,
ANSC107,42,Glenn A. Holub,
ANSC107,35,Wesley S. Ramsey,
ANSC107,0,Wesley S. Ramsey,
ANSC107,0,Wesley S. Ramsey,
ANSC108,0,Chris L. Skaggs,
ANSC108,4,Chris L. Skaggs,
ANSC108,0,Chris L. Skaggs,
ANSC108,15,Chris L. Skaggs,
ANSC108,0,Chris L. Skaggs,
ANSC108,5,Chris L. Skaggs,
ANSC108,1,Chris L. Skaggs,
ANSC108,0,Chris L. Skaggs,
ANSC108,3,Allen B. Poe,
ANSC108,2,Allen B. Poe,
ANSC108,2,Allen B. Poe,
ANSC108,0,Allen B. Poe,
ANSC108,1,Allen B. Poe,
ANSC108,0,Allen B. Poe,
ANSC108,0,Chris L. Skaggs,
ANSC108,2,Chris L. Skaggs,
ANSC108,4,Chris L. Skaggs,
ANSC108,1,Chris L. Skaggs,
ANSC108,2,Chris L. Skaggs,
ANSC108,3,Chris L. Skaggs,
